ExpansionSet,Name,Type,Age,Description,Icon,3 players,4 players,5 players,6 players,7 players,Cost,Chains to (1),Chains to (2),Effect Category,Military shields granted,Resource effects,Science symbol,"Coins/Points affects (P = player, N = neighbours, B = both player & neighbours)",Coins/Points structure category applies to,Coins/Points: coins given when structure is built multiplier,Coins/points: Victory Points given,Wonder Stage,StructureDiscount
Cities,Sepulcher,City,2,This card earns 4 victory points and the other players must pay 1 coin to the bank for each Victory Conflict token (no matter its value) in their possession.,Sepulcher,1,1,1,1,1,SCG,,,LossOfCoins,,,,,ConflictToken,1,4,,
Cities,Architect Cabinet,City,2,Wonder Stages that have not been built yet can be built for free.,Architect_Cabinet,1,1,1,1,1,1P,,,,,,,,,,2,,
Cities,Tabularium,City,2,This card is worth 6 victory points at the end of the game.,Tabularium,1,1,1,1,1,2WOC,,,CoinsPoints,,,,None,Constant,,6,,
Cities,Builders Union,City,3,This card is worth 4 Victory Points and every other player must pay 1 coin to the bank for each stage of their Wonder they have built.,Builders_Union,1,1,1,1,1,WBGP,,,LossOfCoins,,,,,WonderStage,1,4,,
Cities,Torture Chamber,City,3,This card allows the controlling player to copy the scientific symbol of a green card present in one of the two neighboring cities at the end of the game.,Mask,1,1,1,1,1,3OOG,,,CopyScienceSymbolFromNeighbor,,,,,,,,,
Cities,Contingent,City,3,Adds five shields to your city's military strength.,Contingent,1,1,1,1,1,5C,,,Military,5,,,,,,,,
Cities,Brotherhood,City,3,This card earns 4 victory points and causes every other player to pay 3 coins to the bank at the end of the turn in which the card is played.,Brotherhood,1,1,1,1,1,WWOG,,,LossOfCoins,,,,,Constant,3,4,,
Cities,Embassy,City,3,This card gives 3 Victory Points at the end of the game and grants a Diplomacy token to the player.,Embassy,1,1,1,1,1,SCP,,,Diplomacy,,,,,,,3,,
Cities,Cenotaph,City,3,This card earns 5 victory points and the other players must pay 1 coin to the bank for each Conflict token (no matter its value) in their possession.,Cenotaph,1,1,1,1,1,SBBCG,,,LossOfCoins,,,,,ConflictToken,1,5,,
Cities,Secret Society,City,3,1 VP + 1 coin for each black card in your city,Secret_Society,1,1,1,1,1,SP,,,CoinsPoints,,,,Player,City,1,1,,
Cities,Slave Market,City,3,1 VP + 1 coin for each Conflict token,Slave_Market,1,1,1,1,1,WWOOP,,,CoinsPoints,,,,Player,ConflictToken,1,1,,
Cities,Capitol,City,3,This card is worth 8 victory points at the end of the game.,Capitol,1,1,1,1,1,2SSBBGP,,,CoinsPoints,,,,None,Constant,,8,,
Cities,Bernice,Leader,0,The amount of coins taken from the bank is increased by 1. This increase is limited to one coin per turn. Only applies to future transactions.,Bernice,0,0,0,0,0,2,,,,,,,,,,,,
Cities,Darius,Leader,0,Each black card is worth 1 victory point at the end of the game.,Darius,1,1,1,1,1,4,,,CoinsPoints,,,,Player,City,,1,,
Cities,Caligula,Leader,0,The player can build one black card per Age for free.,Caligula,0,0,0,0,0,3,,,,,,,,,,,,
Cities,Aspasia,Leader,0,The player takes a Diplomacy token when Aspasia is played.,Aspasia,1,1,1,1,1,3,,,Diplomacy,,,,,,,0,,
Cities,Diocletian,Leader,0,Diocletian grants 2 coins for each black structure that the player builds from this point forward. The coins are taken from the bank when the structures are built.,Diocletian,1,1,1,1,1,2,,,CoinsPoints,,,,Player,City,2,,,
Cities,Semiramis,Leader,0,All past and future Military Loss tokens count as a shields symbol for future conflict phases.,Semiramis,0,0,0,0,0,2,,,,,,,,,,,,
Cities,Counterfeiters Guild,Guild,3,The card earns 5 victory points and causes the loss of 3 coins from all the other players.,Counterfeiters_Guild,1,1,1,1,1,OOOCG,,,LossOfCoins,,,,,Constant,3,5,,
Cities,Guild of Shadows,Guild,3,The card earns 1 victory point for each black card present in the two neighboring cities.,Guild_of_Shadows,1,1,1,1,1,WSSP,,,CoinsPoints,,,,Neighbors,City,,1,,
Cities,Mourners Guild,Guild,3,The card is worth 1 victory point for each Victory Conflict token present in each of the two neighboring cities.,Mourners_Guild,1,1,1,1,1,WBBCG,,,CoinsPoints,,,,Neighbors,ConflictToken,,1,,
